Altium Designer Pick and Place Locations
C:\Users\IndrekKeskküla\AppData\Local\Temp\Releases\Snapshot\1\Assembly Master\PnP\PnP_KR-Df-01-EL-00_vv1_2024-12-20.csv

========================================================================================================================
File Design Information:

Date:       20/12/24
Time:       15:21
Revision:   Not in VersionControl
Variant:    Master
Units used: mm

"Center-X(mm)","Center-Y(mm)","Comment","Description","Designator","Footprint","Layer","Rotation"
"10,0000","21,0000","Fiducial 1mm","Fiducial, round, 1mm diam","Fid104","FIDUCIAL_1mm","BottomLayer","90"
"164,0000","22,0000","Fiducial 1mm","Fiducial, round, 1mm diam","Fid103","FIDUCIAL_1mm","BottomLayer","90"
"164,0000","27,0000","Fiducial 1mm","Fiducial, round, 1mm diam","Fid102","FIDUCIAL_1mm","TopLayer","90"
"10,0000","25,0000","Fiducial 1mm","Fiducial, round, 1mm diam","Fid101","FIDUCIAL_1mm","TopLayer","90"
"10,0000","83,9000","Fiducial 1mm","Fiducial, round, 1mm diam","Fid100","FIDUCIAL_1mm","TopLayer","90"
"146,0000","25,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C123","MLCC_0402_M","BottomLayer","270"
"130,9500","26,1500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C122","MLCC_0402_M","BottomLayer","270"
"115,2500","25,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C121","MLCC_0402_M","BottomLayer","270"
"87,7000","24,5000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C120","MLCC_0402_M","BottomLayer","90"
"84,3000","22,9250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C119","MLCC_0402_M","BottomLayer","90"
"38,8500","25,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C118","MLCC_0402_M","BottomLayer","90"
"22,6500","26,3500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C117","MLCC_0402_M","BottomLayer","90"
"53,4698","25,8009","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C116","MLCC_0402_M","BottomLayer","90"
"131,0000","82,0000","2616-1352","Lever actuated terminal block, Wire-to-board. 78A, 300V, 4-18 AWG","J400","2616-1352-Footprint-1","TopLayer","180"
"101,9000","9,9000","KR-Df-01 GND BUSBAR","Custom GND busbar for DefSecIntel fuse board","BB401","KR-Df-01_GND_BUSBAR-Footprint-1","BottomLayer","180"
"93,8001","78,6000","430181038816","Switch Tactile Spst-no 0.05A 12V","SW501","430181038816","TopLayer","90"
"42,6000","71,0000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R513","TLRZ2BTTD-Footprint-1","TopLayer","270"
"57,0000","70,1000","100R","Resistor, 0603, 100R, 1%, 1/10W","R512","Resistor_0603_M","TopLayer","0"
"57,0000","71,4000","100R","Resistor, 0603, 100R, 1%, 1/10W","R511","Resistor_0603_M","TopLayer","180"
"57,0000","72,7000","100R","Resistor, 0603, 100R, 1%, 1/10W","R510","Resistor_0603_M","TopLayer","0"
"94,0000","84,1000","10k","Resistor, 0603, 10k, 1%, 1/10W","R509","Resistor_0603_M","TopLayer","0"
"55,3000","72,9000","3V3","TVS DIODE 3.3V SOD923","D502","SOD-923","TopLayer","270"
"55,0000","68,1000","3V3","TVS DIODE 3.3V SOD923","D501","SOD-923","TopLayer","270"
"55,3000","71,2000","3V3","TVS DIODE 3.3V SOD923","D500","SOD-923","TopLayer","90"
"142,5000","70,0000","SMAJ33A","SMAJ Series 53.3 V 0.4 kW Surface Mount Uni-Directional TVS Diode - DO-214AC","D401","FP-SMAJ-MFG","BottomLayer","90"
"134,0000","62,2000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C439","MLCC_0402_M","TopLayer","90"
"116,3000","73,8000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C213","MLCC_0402_M","TopLayer","90"
"136,7000","66,2250","LM46002AQPWPRQ1","LM46002AQPWPRQ1","U409","HTSSOP-16","TopLayer","0"
"95,3500","65,7000","12.1k","Resistor, 0402, 12.1k, 1%, 1/16W","R223","Resistor_0402_M","TopLayer","180"
"94,7000","68,9500","12.1k","Resistor, 0402, 12.1k, 1%, 1/16W","R221","Resistor_0402_M","TopLayer","180"
"94,6500","66,6000","12.1k","Resistor, 0402, 12.1k, 1%, 1/16W","R222","Resistor_0402_M","TopLayer","180"
"96,3250","62,2500","12.1k","Resistor, 0402, 12.1k, 1%, 1/16W","R208","Resistor_0402_M","TopLayer","180"
"97,3000","89,3000","1M","Resistor, 1206, 1M, 1%, 1/4W","R225","Resistor_1206_M","TopLayer","0"
"96,8000","67,0000","12.1k","Resistor, 0402, 12.1k, 1%, 1/16W","R224","Resistor_0402_M","BottomLayer","0"
"135,6000","63,2000","39.2k","Resistor, 0402, 39.2k, 1%, 1/10W","R409","Resistor_0402_M","TopLayer","180"
"142,5000","65,7000","1k","Resistor, 0402, 1k, 1%, 1/16W","R405","Resistor_0402_M","TopLayer","0"
"138,9000","60,8000","200k","Resistor, 0603, 200k, 1%, 1/10W","R407","Resistor_0603_M","TopLayer","180"
"138,9000","62,8000","200k","Resistor, 0603, 200k, 1%, 1/10W","R406","Resistor_0603_M","TopLayer","180"
"141,2000","63,4000","24.9k","Resistor, 0402, 24.9k, 1%, 1/10W","R408","Resistor_0402_M","TopLayer","270"
"101,3000","78,8000","75R","Resistor, 0603, 75R, 1%, 1/10W","R220","Resistor_0603_M","TopLayer","0"
"101,3000","80,1000","75R","Resistor, 0603, 75R, 1%, 1/10W","R219","Resistor_0603_M","TopLayer","0"
"115,5000","81,5000","270R","Resistor, 0402, 270R, 1%, 1/16W","R218","Resistor_0402_M","BottomLayer","270"
"117,3000","81,3000","10k","Resistor, 0603, 10k, 1%, 1/10W","R217","Resistor_0603_M","BottomLayer","270"
"97,3000","84,1000","270R","Resistor, 0402, 270R, 1%, 1/16W","R216","Resistor_0402_M","BottomLayer","180"
"103,2500","67,1000","12.1k","Resistor, 0402, 12.1k, 1%, 1/16W","R215","Resistor_0402_M","BottomLayer","90"
"104,7000","67,5500","49.9R","Resistor, 0402, 49.9R, 1%, 1/16W","R213","Resistor_0402_M","TopLayer","270"
"104,7000","69,2500","49.9R","Resistor, 0402, 49.9R, 1%, 1/16W","R212","Resistor_0402_M","TopLayer","90"
"105,5500","65,2500","49.9R","Resistor, 0402, 49.9R, 1%, 1/16W","R211","Resistor_0402_M","TopLayer","270"
"105,5500","66,9500","49.9R","Resistor, 0402, 49.9R, 1%, 1/16W","R210","Resistor_0402_M","TopLayer","90"
"96,3250","61,5000","10R","Resistor, 0402, 10R, 1%, 1/16W","R209","Resistor_0402_M","TopLayer","0"
"95,3750","64,9000","10R","Resistor, 0402, 10R, 1%, 1/16W","R207","Resistor_0402_M","TopLayer","0"
"94,6750","67,3500","10R","Resistor, 0402, 10R, 1%, 1/16W","R206","Resistor_0402_M","TopLayer","0"
"94,7000","68,2000","10R","Resistor, 0402, 10R, 1%, 1/16W","R205","Resistor_0402_M","TopLayer","0"
"98,6500","60,6000","10R","Resistor, 0402, 10R, 1%, 1/16W","R204","Resistor_0402_M","TopLayer","0"
"98,6500","61,3500","10R","Resistor, 0402, 10R, 1%, 1/16W","R203","Resistor_0402_M","TopLayer","0"
"95,3500","64,1500","10R","Resistor, 0402, 10R, 1%, 1/16W","R202","Resistor_0402_M","TopLayer","0"
"95,3500","63,4000","1.5k","Resistor, 0402, 1.5k, 1%, 1/16W","R201","Resistor_0402_M","TopLayer","180"
"98,4000","59,0000","10k","Resistor, 0603, 10k, 1%, 1/10W","R200","Resistor_0603_M","BottomLayer","90"
"129,2000","66,2500","SRP0420-6R8K","Inductor Power Shielded Wirewound 6.8uH 10% 100KHz 27Q-Factor Metal Alloy Powder 2.6A 0.117Ohm DCR T/R","L401","SRP0420-6R8K-Footprint-1","TopLayer","270"
"102,8000","62,0000","BLM18RK601SN1D","Ferrite Beads Multi-Layer 600Ohm 25% 100MHz 200mA 600mOhm DCR 0603 T/R","FB200","FP-BLM18-0_15-t0_8-IPC_B","TopLayer","180"
"108,9000","69,1000","D5V0P4UR6SO-7","DIODES INC. - D5V0P4UR6SO-7 - ESD Protection Device, 1.2 V, SOT-26, 6 Pins, 3.6 V, 300 mW","D200","SOT26","TopLayer","180"
"130,3000","61,7000","47u","MLCC, 1206, 47u, 10%, 10V, X5R","C436","MLCC_1206_M","TopLayer","180"
"139,0000","61,8000","47p","MLCC, 0402, 47p, 10%, 50V, X7R","C435","MLCC_0402_M","TopLayer","180"
"133,0500","62,0000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C438","MLCC_0603_M","TopLayer","90"
"132,5000","67,2000","470n","MLCC, 0402, 470n, 10%, 50V, X5R","C434","MLCC_0402_M","TopLayer","90"
"148,5000","68,5000","4.7u","MLCC, 1210, 4.7u, 10%, 100V, X7S","C430","MLCC_1210_M","TopLayer","90"
"142,5000","68,5000","4.7u","MLCC, 1210, 4.7u, 10%, 100V, X7S","C432","MLCC_1210_M","TopLayer","90"
"141,2000","65,2000","100n","MLCC, 0402, 100n, 10%, 50V, X7R","C433","MLCC_0402_M","TopLayer","270"
"145,5000","68,5000","4.7u","MLCC, 1210, 4.7u, 10%, 100V, X7S","C431","MLCC_1210_M","TopLayer","90"
"136,2000","69,5000","2.2u","MLCC, 0603, 2.2u, 10%, 16V, X5R","C437","MLCC_0603_M","TopLayer","180"
"99,7000","81,8000","1n","MLCC, 1206, 1n, 10%, 2kV, X7R","C212","MLCC_1206_M","TopLayer","0"
"97,2000","87,2000","1n","MLCC, 1206, 1n, 10%, 2kV, X7R","C211","MLCC_1206_M","TopLayer","180"
"101,5000","74,0000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C210","MLCC_0402_M","TopLayer","90"
"108,9000","69,1000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C209","MLCC_0402_M","BottomLayer","180"
"102,1000","60,0500","10u","MLCC, 0603, 10u, 10%, 25V, X5R","C201","MLCC_0603_M","TopLayer","90"
"103,5000","60,0500","10u","MLCC, 0603, 10u, 10%, 25V, X5R","C200","MLCC_0603_M","TopLayer","90"
"101,3250","72,0000","ECS-250-10-37B-CTN-TR","25MHz ±10ppm Crystal 10pF 50 Ohms 4-SMD, No Lead","Xtal200","4-SMD_Crystal_2.00mm_x_1.60mm","TopLayer","180"
"119,2999","62,0000","AP61100Q","Switching Voltage Regulators DCDC Conv LV Buck SOT563 T&R 3K","U408","SOT-5X3","TopLayer","180"
"118,8000","60,5000","200k","Resistor, 0603, 200k, 1%, 1/10W","R403","Resistor_0603_M","TopLayer","180"
"99,7000","70,1000","499R","Resistor, 0402, 499R, 1%, 1/16W","R214","Resistor_0402_M","TopLayer","90"
"122,8000","62,8000","10k","Resistor, 0603, 10k, 1%, 1/10W","R402","Resistor_0603_M","TopLayer","90"
"121,0000","60,5000","44.2k","Resistor, 0603, 44.2k, 0.1%, 1/10W","R404","Resistor_0603_M","TopLayer","180"
"109,0000","89,6000","RJHSE-5384","CONN MOD JACK 8P8C R/A SHIELDED, LEFT GREEN, RIGHT YELLOW","P200","RJHSE-5384","TopLayer","180"
"116,4000","64,1000","744029001","1µH Shielded Wirewound Inductor 2.2A 55mOhm Max Nonstandard","L400","744029001","TopLayer","90"
"97,9000","70,6000","470p","MLCC, 0402, 470p, 5%, 50V, C0G/NP0","C204","MLCC_0402_M","TopLayer","0"
"99,7000","72,0000","8.2p","MLCC, 0402, 8.2p, 5%, 50V, C0G/NP0","C208","MLCC_0402_M","TopLayer","270"
"97,8001","69,6000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C205","MLCC_0603_M","TopLayer","0"
"101,6000","70,5000","8.2p","MLCC, 0402, 8.2p, 5%, 50V, C0G/NP0","C207","MLCC_0402_M","TopLayer","180"
"96,7750","67,0000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C206","MLCC_0402_M","TopLayer","0"
"103,0000","64,0250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C203","MLCC_0402_M","TopLayer","90"
"120,7000","62,6000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C426","MLCC_0402_M","TopLayer","90"
"119,2000","63,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C428","MLCC_0402_M","TopLayer","180"
"119,3000","64,4000","10u","MLCC, 0603, 10u, 10%, 25V, X5R","C429","MLCC_0603_M","TopLayer","180"
"102,8000","69,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C202","MLCC_0402_M","TopLayer","180"
"123,3000","61,3000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C427","MLCC_0402_M","TopLayer","180"
"121,6000","62,8000","10u","MLCC, 0603, 10u, 10%, 25V, X5R","C425","MLCC_0603_M","TopLayer","90"
"100,2000","43,0000","Kr-Df-01 PWR BUSBAR","Custom PWR busbar for DefSecIntel fuse board.","BB400","Kr-Df-01_PWR_BUSBAR_footprint","BottomLayer","180"
"51,2364","83,7650","SN65HVD12DR","1/1 Transceiver Half RS422, RS485 8-SOIC","U300","FP-D0008A-IPC_B","TopLayer","0"
"30,0000","67,0000","219-8MST","Switch DIP ON OFF SPST 8 Raised Slide 0.1A 20VDC Gull Wing 2000Cycles 2.54mm SMD Tube","SW500","219-8MST-Footprint-1","TopLayer","0"
"38,3000","74,4000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R508","Resistor_0603_M","TopLayer","90"
"46,1000","83,0000","10k","Resistor, 0603, 10k, 1%, 1/10W","R306","Resistor_0603_M","TopLayer","270"
"11,0000","73,4000","10k","Resistor, 0603, 10k, 1%, 1/10W","R305","Resistor_0603_M","BottomLayer","270"
"56,0000","84,4000","CRCW0603010RJNEAHP","10R 0603 Pulse-proof 1/3W","R304","Resistor_0603_M","TopLayer","0"
"58,9500","85,0500","120R","Resistor, 0805, 120R, 1%, 1/10W","R303","Resistor_0805_M","TopLayer","90"
"50,1000","87,2000","10k","Resistor, 0603, 10k, 1%, 1/10W","R302","Resistor_0603_M","TopLayer","0"
"56,0000","83,1000","CRCW0603010RJNEAHP","10R 0603 Pulse-proof 1/3W","R301","Resistor_0603_M","TopLayer","0"
"157,7000","73,3000","10k","Resistor, 0603, 10k, 1%, 1/10W","R300","Resistor_0603_M","BottomLayer","270"
"61,0500","84,5500","61300211121","Headers & Wire Housings WR-PHD 2.54mm 2Pin THT Header","P300","61300211121","TopLayer","270"
"-25,4000","-25,4000","SNT-100-BK-T-H","SNT - Samtec 2.54mm Jumper Link / Shunt","ME300","SNT-100-BK-T-H-Footprint-1","TopLayer","90"
"12,5000","73,4000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C302","MLCC_0805_M","BottomLayer","270"
"53,1000","87,2000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C301","MLCC_0402_M","TopLayer","0"
"156,2000","73,4000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C300","MLCC_0805_M","BottomLayer","270"
"69,3000","57,9000","ECS-250-10-37B-CTN-TR","25MHz ±10ppm Crystal 10pF 50 Ohms 4-SMD, No Lead","Xtal500","4-SMD_Crystal_2.00mm_x_1.60mm","TopLayer","0"
"32,6500","67,8500","TMUX1208PWR","5-V, 8: 1, 1-channel general-purpose analog multiplexer with 1.8-V input logic 16-TSSOP -40 to 125","U501","FP-PW0016A-IPC_B","BottomLayer","0"
"50,6000","63,2000","TMUX1208PWR","5-V, 8: 1, 1-channel general-purpose analog multiplexer with 1.8-V input logic 16-TSSOP -40 to 125","U502","FP-PW0016A-IPC_B","BottomLayer","0"
"29,9500","63,9500","100R","Resistor, 0603, 100R, 1%, 1/10W","R500","Resistor_0603_M","BottomLayer","270"
"35,3500","63,9500","100R","Resistor, 0603, 100R, 1%, 1/10W","R501","Resistor_0603_M","BottomLayer","270"
"46,3000","59,3000","100R","Resistor, 0603, 100R, 1%, 1/10W","R507","Resistor_0603_M","BottomLayer","90"
"36,5500","63,9500","100R","Resistor, 0603, 100R, 1%, 1/10W","R502","Resistor_0603_M","BottomLayer","270"
"28,6500","63,9500","100R","Resistor, 0603, 100R, 1%, 1/10W","R503","Resistor_0603_M","BottomLayer","90"
"117,2000","70,8000","10k","Resistor, 0603, 10k, 1%, 1/10W","R400","Resistor_0603_M","TopLayer","90"
"117,2000","68,6000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R401","Resistor_0603_M","TopLayer","90"
"47,8000","59,3000","100R","Resistor, 0603, 100R, 1%, 1/10W","R504","Resistor_0603_M","BottomLayer","270"
"54,8000","59,4000","100R","Resistor, 0603, 100R, 1%, 1/10W","R506","Resistor_0603_M","BottomLayer","270"
"53,4000","59,4000","100R","Resistor, 0603, 100R, 1%, 1/10W","R505","Resistor_0603_M","BottomLayer","270"
"32,7500","79,1500","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R612","Resistor_0603_M","TopLayer","0"
"45,0500","86,5000","10k","Resistor, 0603, 10k, 1%, 1/10W","R611","Resistor_0603_M","TopLayer","270"
"147,6000","58,3000","10k","Resistor, 0603, 10k, 1%, 1/10W","R610","Resistor_0603_M","TopLayer","180"
"149,1000","55,9000","100R","Resistor, 0603, 100R, 1%, 1/10W","R609","Resistor_0603_M","TopLayer","270"
"145,3000","58,3000","10k","Resistor, 0603, 10k, 1%, 1/10W","R608","Resistor_0603_M","TopLayer","180"
"89,1002","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R607","Resistor_0603_M","BottomLayer","270"
"78,8002","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R606","Resistor_0603_M","BottomLayer","270"
"72,8002","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R605","Resistor_0603_M","BottomLayer","270"
"59,8002","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R603","Resistor_0603_M","BottomLayer","270"
"51,8002","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R602","Resistor_0603_M","BottomLayer","270"
"44,7500","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R601","Resistor_0603_M","BottomLayer","270"
"37,8000","90,0500","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R600","Resistor_0603_M","BottomLayer","270"
"143,2000","27,8000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R147","Resistor_0603_M","BottomLayer","180"
"128,1000","27,9000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R146","Resistor_0603_M","BottomLayer","180"
"142,7000","23,7000","10k","Resistor, 0603, 10k, 1%, 1/10W","R145","Resistor_0603_M","BottomLayer","270"
"127,7000","23,8000","10k","Resistor, 0603, 10k, 1%, 1/10W","R144","Resistor_0603_M","BottomLayer","270"
"112,6000","27,9000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R143","Resistor_0603_M","BottomLayer","180"
"85,7000","27,6000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R142","Resistor_0603_M","BottomLayer","180"
"83,0000","27,6000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R141","Resistor_0603_M","BottomLayer","180"
"112,5000","23,8000","10k","Resistor, 0603, 10k, 1%, 1/10W","R140","Resistor_0603_M","BottomLayer","270"
"85,7000","23,4000","10k","Resistor, 0603, 10k, 1%, 1/10W","R139","Resistor_0603_M","BottomLayer","270"
"83,0000","23,5000","10k","Resistor, 0603, 10k, 1%, 1/10W","R138","Resistor_0603_M","BottomLayer","270"
"41,3000","27,8000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R137","Resistor_0603_M","BottomLayer","0"
"25,3000","28,1000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R136","Resistor_0603_M","BottomLayer","0"
"56,0000","27,8000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R135","Resistor_0603_M","BottomLayer","0"
"41,4000","23,6000","10k","Resistor, 0603, 10k, 1%, 1/10W","R134","Resistor_0603_M","BottomLayer","270"
"25,3000","24,0000","10k","Resistor, 0603, 10k, 1%, 1/10W","R133","Resistor_0603_M","BottomLayer","270"
"56,3000","23,5000","10k","Resistor, 0603, 10k, 1%, 1/10W","R132","Resistor_0603_M","BottomLayer","270"
"42,3500","86,4000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q602","SOT-23-3","TopLayer","180"
"146,6000","56,0000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q601","SOT-23-3","TopLayer","180"
"142,3000","57,2000","DMG2305UX-13","P-Channel 20V 4.2A (Ta) 1.4W (Ta) Surface Mount SOT-23","Q600","SOT-23-3","TopLayer","180"
"119,2000","69,3001","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D400","SOT323,_SC70","TopLayer","180"
"65,1000","84,1000","CDSOT23-SM712","BOURNS - CDSOT23-SM712 - Transient Voltage Suppressor, TVS, CDSOT23 Series, Unidirectional, 12 V, SOT-23, 3, 13.3 V","D300","FP-SOT23-MFG","TopLayer","0"
"38,1000","86,4000","MBR0530","Diode Schottky 30V 500mA Surface Mount SOD-123","D610","SOD-123","TopLayer","180"
"143,2000","26,0000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D123","SOT323,_SC70","BottomLayer","180"
"128,0800","26,1500","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D122","SOT323,_SC70","BottomLayer","180"
